datasetID,datasetName,VIF-threshold5,VIF-threshold10
1,JM1,TRUE,TRUE,,
2,KC3,TRUE,TRUE,,
3,MC1,TRUE,TRUE,,
4,MC2,TRUE,TRUE,,
5,MW1,TRUE,TRUE,,
6,PC1,TRUE,TRUE,,
7,PC2,TRUE,TRUE,,
8,PC3,TRUE,TRUE,,
9,PC4,TRUE,TRUE,,
10,PC5,TRUE,TRUE,,
11,ar1,TRUE,TRUE,,
12,ar3,FAILED,FAILED,,
13,ar4,FAILED,FAILED,,
14,ar5,FAILED,FAILED,,
15,ar6,TRUE,TRUE,,
16,cm1,TRUE,TRUE,,
17,kc2,TRUE,TRUE,,
18,ant-1.3,TRUE,TRUE,,
19,ant-1.4,TRUE,TRUE,,
20,ant-1.5,TRUE,TRUE,,
21,ant-1.6,TRUE,TRUE,,
22,ant-1.7,TRUE,TRUE,,
23,arc,TRUE,TRUE,,
24,berek,TRUE,TRUE,,
25,camel-1.0,TRUE,TRUE,,
26,camel-1.2,TRUE,TRUE,,
27,camel-1.4,TRUE,TRUE,,
28,camel-1.6,TRUE,TRUE,,
29,ckjm,TRUE,TRUE,,
30,e-learning,TRUE,TRUE,,
31,forrest-0.6,TRUE,TRUE,,
32,forrest-0.7,TRUE,TRUE,,
33,forrest-0.8,TRUE,TRUE,,
34,intercafe,TRUE,TRUE,,
35,ivy-1.1,TRUE,TRUE,,
36,ivy-1.4,TRUE,TRUE,,
37,ivy-2.0,TRUE,TRUE,,
38,jedit-3.2,TRUE,TRUE,,
39,jedit-4.0,TRUE,TRUE,,
40,jedit-4.1,TRUE,TRUE,,
41,jedit-4.2,TRUE,TRUE,,
42,jedit-4.3,TRUE,TRUE,,
43,kalkulator,TRUE,TRUE,,
44,log4j-1.0,TRUE,TRUE,,
45,log4j-1.1,TRUE,TRUE,,
46,log4j-1.2,TRUE,TRUE,,
47,lucene-2.0,TRUE,TRUE,,
48,lucene-2.2,TRUE,TRUE,,
49,lucene-2.4,TRUE,TRUE,,
50,nieruchomosci,TRUE,TRUE,,
51,pbeans1,TRUE,TRUE,,
52,pbeans2,TRUE,TRUE,,
53,pdftranslator,TRUE,TRUE,,
54,poi-1.5,TRUE,TRUE,,
55,poi-2.0,TRUE,TRUE,,
56,poi-2.5,TRUE,TRUE,,
57,poi-3.0,TRUE,TRUE,,
58,prop-1,TRUE,TRUE,,
59,prop-2,TRUE,TRUE,,
60,prop-3,TRUE,TRUE,,
61,prop-4,TRUE,TRUE,,
62,prop-5,TRUE,TRUE,,
63,prop-6,TRUE,TRUE,,
64,redaktor,TRUE,TRUE,,
65,serapion,TRUE,TRUE,,
66,skarbonka,TRUE,TRUE,,
67,sklebagd,TRUE,TRUE,,
68,synapse-1.0,TRUE,TRUE,,
69,synapse-1.1,TRUE,TRUE,,
70,synapse-1.2,TRUE,TRUE,,
71,systemdata,TRUE,TRUE,,
72,szybkafucha,TRUE,TRUE,,
73,termoproject,TRUE,TRUE,,
74,tomcat,TRUE,TRUE,,
75,velocity-1.4,TRUE,TRUE,,
76,velocity-1.5,TRUE,TRUE,,
77,velocity-1.6,TRUE,TRUE,,
78,workflow,TRUE,TRUE,,
79,wspomaganiepi,TRUE,TRUE,,
80,xalan-2.4,TRUE,TRUE,,
81,xalan-2.5,TRUE,TRUE,,
82,xalan-2.6,TRUE,TRUE,,
83,xalan-2.7,TRUE,TRUE,,
84,xerces-1.2,TRUE,TRUE,,
85,xerces-1.3,TRUE,TRUE,,
86,xerces-1.4,TRUE,TRUE,,
87,xerces-init,TRUE,TRUE,,
88,zuzel,TRUE,TRUE,,
89,eclipse-2.0,TRUE,TRUE,,
90,eclipse-2.1,TRUE,TRUE,,
91,eclipse-3.0,TRUE,TRUE,,
92,Apache,TRUE,TRUE,,
93,Safe,TRUE,TRUE,,
94,Zxing,TRUE,TRUE,,
95,eclipse34_debug,TRUE,TRUE,,
96,eclipse34_swt,TRUE,TRUE,,
97,equinox,TRUE,TRUE,,
98,jdt,TRUE,TRUE,,
99,lucene,TRUE,TRUE,,
100,mylyn,TRUE,TRUE,,
101,pde,TRUE,TRUE,,
